Grudger, Limited Retaliate (0.08/15), Fool Me Once, Retaliate (0.08), Limited Retaliate (0.05/20), Limited Retaliate (0.1/20), Retaliate (0.1), Forgetful Grudger, Forgiver, Retaliate (0.05), Appeaser, Win-Stay Lose-Shift, Forgetful Fool Me Once, Inverse Punisher, Punisher, Once Bitten, Two Tits For Tat, Go By Majority/5, Tit For Tat, Forgiving Tit For Tat, Grumpy, Go By Majority/20, Go By Majority/40, Go By Majority/10, Go By Majority, Tit For 2 Tats, Inverse, Average Copier, Cooperator, Alternator, e, Pi, Generous Tit-For-Tat, Golden, Opposite Grudger, Stochastic WSLS, Arrogant QLearner, Cautious QLearner, Risky QLearner, Tricky Defector, Suspicious Tit For Tat, Hesitant QLearner, Random, Tricky Cooperator, Defector
17023, 16940, 16988, 16916, 16575, 17061, 17501, 17189, 17594, 17268, 17529, 17562, 18076, 18297, 18373, 18640, 18550, 19398, 19145, 19536, 19904, 19857, 19839, 20249, 20195, 20227, 19990, 21971, 22859, 23241, 23400, 23630, 23797, 24161, 24722, 24531, 25009, 25061, 25017, 25066, 25050, 25383, 26010, 25844, 27320
17023, 16605, 16614, 17370, 16593, 17065, 17082, 17065, 17684, 17473, 17414, 17512, 18054, 18082, 18401, 18662, 18520, 19752, 19182, 19684, 19579, 20249, 19941, 20269, 20176, 20159, 20465, 20849, 22931, 23275, 23261, 23516, 24660, 24135, 24881, 25066, 24995, 24771, 25144, 25153, 25239, 24848, 26421, 25856, 27360
16602, 16969, 17021, 17144, 17057, 17147, 17361, 17494, 17373, 17409, 17752, 17557, 17921, 17896, 17956, 18588, 18587, 19755, 19034, 19285, 19685, 20245, 19810, 19898, 20271, 20264, 20147, 20630, 22889, 23263, 23326, 23542, 24365, 24174, 24723, 25105, 25141, 24938, 24775, 25214, 25299, 24583, 25308, 25924, 27368
16472, 16615, 16888, 17028, 16595, 17090, 17485, 17446, 17717, 17932, 17487, 18167, 17756, 17868, 18155, 18587, 18556, 19779, 19183, 19565, 19738, 19799, 19824, 20283, 20271, 20254, 20105, 20966, 22820, 23364, 23424, 23675, 24419, 24272, 24818, 25752, 25241, 24325, 24663, 25107, 25222, 25539, 25112, 25853, 27432
16817, 16479, 16845, 16948, 16641, 17003, 17409, 17086, 17758, 17880, 17989, 17583, 17834, 18027, 18098, 18584, 18960, 19713, 19471, 19590, 19666, 19831, 20270, 20322, 19800, 20255, 19881, 22178, 22958, 23287, 23356, 23683, 23727, 24133, 24747, 25729, 25090, 24561, 25079, 25065, 25422, 25154, 25797, 25694, 27452
16536, 16635, 16923, 16711, 17062, 17481, 17440, 17388, 17653, 17866, 18142, 17421, 17835, 17902, 18042, 18737, 18486, 19377, 19190, 19082, 19733, 19782, 20287, 19941, 20193, 20355, 20110, 20904, 22991, 23256, 23233, 23717, 24161, 24261, 24839, 25071, 24916, 25096, 25630, 25137, 25208, 25275, 25480, 26073, 27388
16344, 16736, 16879, 17008, 16649, 17309, 17198, 16945, 17389, 17462, 17985, 17356, 17788, 18275, 18370, 18571, 18954, 19391, 19527, 19034, 19689, 20197, 19830, 19895, 20451, 20255, 19996, 20911, 22760, 23226, 23460, 23563, 23519, 24274, 24813, 25281, 24982, 24856, 24918, 25219, 25255, 25273, 24884, 25958, 27408
16821, 17047, 16963, 17026, 17108, 17422, 17105, 17425, 17376, 17941, 17404, 18008, 17750, 17437, 17992, 18525, 18932, 19377, 19568, 19251, 19602, 19799, 19826, 20297, 19861, 20252, 20316, 21609, 22703, 23266, 23345, 23659, 24360, 24200, 24717, 25704, 24844, 24915, 25270, 25206, 25171, 25409, 26179, 25735, 27356
16308, 17050, 16801, 17105, 17108, 16997, 17519, 16977, 17405, 17472, 17475, 17578, 18128, 18127, 17852, 18557, 18943, 19784, 19593, 19296, 19786, 19818, 20207, 20281, 19991, 20312, 20589, 22887, 22856, 23218, 23418, 23570, 23813, 24242, 24651, 24849, 24866, 25595, 25403, 24950, 25093, 24826, 25627, 25760, 27412
16544, 16929, 16703, 16913, 16648, 16976, 17108, 17392, 18127, 17897, 17960, 17873, 18117, 18043, 18452, 18796, 18880, 19761, 19641, 19747, 19756, 20226, 19953, 19895, 20376, 20207, 20133, 21700, 22889, 23184, 23455, 23719, 24847, 24224, 24906, 24500, 25028, 24799, 25192, 25158, 25100, 25601, 25687, 26053, 27320
16664, 17027, 16795, 16634, 17027, 17028, 17313, 17409, 17727, 17575, 17462, 18090, 17922, 17728, 17930, 18570, 18942, 19704, 19583, 19631, 19672, 20176, 19747, 19881, 20402, 20319, 20331, 20724, 22745, 23207, 23543, 23531, 24125, 24113, 25027, 24096, 25108, 24869, 25022, 25208, 25131, 24547, 26233, 26009, 27356
16514, 16537, 16944, 17229, 16668, 16909, 17453, 17393, 17548, 17475, 18043, 17458, 17893, 17851, 17997, 18595, 18561, 19805, 19609, 19502, 19646, 19798, 19856, 19915, 20028, 20289, 20436, 20182, 22961, 23225, 23328, 23460, 24416, 24251, 24735, 24920, 25564, 24837, 25227, 25248, 25140, 25104, 25329, 25871, 27412
16564, 16956, 16879, 17055, 16700, 16989, 17039, 17229, 17585, 17962, 18129, 18128, 17972, 17987, 18394, 18555, 18954, 19757, 19086, 19491, 19519, 20205, 19793, 20329, 20046, 20172, 20066, 20903, 22709, 23261, 23563, 23592, 24127, 24278, 24624, 25204, 24740, 25797, 25017, 25191, 25220, 24965, 25482, 25844, 27408
17037, 16458, 16665, 17210, 16631, 16935, 17553, 17018, 17677, 17781, 18079, 17888, 17886, 17885, 18423, 18576, 18915, 19778, 19484, 19580, 19873, 19841, 19820, 19883, 19987, 20314, 20586, 21734, 22973, 23355, 23233, 23671, 24049, 24237, 24825, 25357, 24707, 24835, 25324, 25090, 25096, 25587, 24823, 25980, 27440
17049, 16524, 16845, 16742, 16731, 17404, 17488, 17497, 17077, 17904, 17453, 18035, 17824, 17939, 18020, 18632, 18583, 19721, 19582, 19569, 19669, 19758, 19898, 20293, 20384, 20168, 19932, 20482, 22919, 23348, 23382, 23560, 23861, 24187, 24900, 24798, 25061, 25006, 24857, 25334, 25105, 25356, 26002, 25874, 27392
16703, 16572, 16876, 17113, 16653, 17067, 17010, 17654, 17748, 17571, 17260, 17949, 17799, 18150, 18396, 18510, 18548, 19793, 19124, 19263, 19592, 19832, 19839, 20328, 20063, 20249, 20811, 21339, 22895, 23179, 23284, 23767, 24420, 24168, 24806, 24256, 24828, 24629, 25241, 25224, 25146, 25508, 25498, 25994, 27408
16622, 16471, 16854, 16720, 16690, 16967, 17078, 17001, 16971, 17380, 17981, 17379, 17944, 17639, 18449, 18515, 18596, 19770, 19598, 19645, 19705, 20214, 20191, 20288, 19961, 20217, 20413, 20454, 22829, 23141, 23447, 23578, 24028, 24204, 24948, 25436, 25126, 25051, 25197, 25034, 25182, 24829, 25786, 25686, 27396
16642, 16996, 16905, 17246, 17094, 17402, 16993, 17083, 16992, 17949, 17937, 18002, 17871, 17645, 18002, 18805, 18954, 19754, 19100, 19548, 19705, 19824, 19863, 19941, 19872, 20185, 20503, 20840, 22871, 23308, 23261, 23607, 24137, 24195, 24713, 24426, 25038, 25099, 24840, 25008, 25207, 25177, 25824, 25800, 27340
16971, 16982, 16785, 17120, 16732, 17081, 17517, 17698, 17617, 17839, 17750, 18157, 17865, 17464, 17994, 18637, 18946, 19329, 19085, 19080, 19687, 20216, 20280, 19922, 20324, 20308, 20240, 21635, 22703, 23264, 23426, 23525, 23831, 24152, 24942, 25244, 24704, 24944, 25410, 24951, 25474, 24798, 24833, 25866, 27364
16877, 16485, 16860, 17072, 17080, 16941, 17415, 17562, 17349, 17437, 18000, 17505, 17918, 17979, 17913, 18630, 18614, 19355, 19566, 19156, 19619, 19759, 19798, 19867, 20002, 20173, 20931, 21378, 22694, 23248, 23358, 23453, 24439, 24272, 24624, 25817, 24718, 25050, 24888, 25016, 25190, 26070, 25044, 26017, 27288
16923, 16890, 16807, 17092, 16977, 17023, 17413, 17625, 17688, 17737, 17415, 17937, 17916, 18021, 18417, 18561, 18944, 19371, 19515, 19379, 19443, 20283, 19816, 20256, 20601, 20195, 20598, 22770, 22748, 23202, 23231, 23644, 24561, 24474, 24909, 24745, 24921, 25144, 25165, 25162, 25190, 25616, 25351, 25896, 27304
