Grudger, Limited Retaliate (0.08/20), Retaliate (0.08), Limited Retaliate (0.1/25), Limited Retaliate (0.1/20), Retaliate (0.12), Retaliate (0.1), Forgetful Grudger, Forgiver, Appeaser, Inverse Punisher, Punisher, Two Tits For Tat, Once Bitten, Tit For Tat, Forgiving Tit For Tat, Grumpy, Go By Majority/5, Go By Majority/20, Go By Majority/10, Go By Majority/40, Inverse, Tit For 2 Tats, Go By Majority, Average Copier, e, Pi, Alternator, Golden, Cooperator, Arrogant QLearner, Cautious QLearner, Risky QLearner, Hesitant QLearner, Anti Tit For Tat, Opposite Grudger, Tricky Defector, Random, Tricky Cooperator, Defector
14196, 14807, 14739, 15148, 15100, 15244, 14630, 15012, 15317, 15323, 15639, 15671, 16203, 16464, 17305, 17355, 17589, 17658, 17732, 17764, 17780, 17970, 17988, 18204, 19672, 19530, 19794, 20080, 20250, 20562, 22046, 21669, 21560, 21611, 21768, 21689, 21839, 21262, 22458, 24424
14599, 14770, 14839, 14703, 14634, 14820, 14721, 14703, 15015, 15897, 15584, 15604, 16184, 16447, 16896, 16932, 17320, 17680, 18106, 17754, 17732, 17892, 18023, 17746, 17320, 19500, 19785, 20081, 20266, 20487, 21186, 21627, 21422, 21576, 21790, 21825, 21741, 22372, 22505, 24388
14278, 14280, 14789, 14690, 14772, 15175, 15112, 14729, 14981, 15168, 15338, 15624, 16198, 16471, 16867, 16941, 17607, 17682, 17750, 17783, 17645, 18037, 18015, 17773, 17866, 19485, 19914, 20088, 20288, 20505, 21301, 21560, 21440, 21719, 21744, 21713, 21811, 22720, 22537, 24400
14655, 14422, 14469, 15205, 14628, 15179, 15056, 15368, 15617, 15517, 15153, 15664, 16186, 16372, 16883, 16957, 17537, 17230, 18087, 17742, 17680, 18001, 18024, 17901, 18093, 19550, 19849, 20066, 20260, 20502, 21071, 21494, 21931, 21590, 21819, 21691, 21955, 22396, 22505, 24448
14194, 14167, 14346, 14692, 14990, 15167, 15120, 15425, 15389, 15742, 15687, 16047, 16197, 16449, 17297, 17439, 17556, 17260, 17693, 18127, 17711, 18337, 18017, 18188, 19646, 19403, 19776, 20052, 20286, 20550, 21348, 22071, 21866, 21721, 21802, 21862, 21805, 22063, 22503, 24440
14316, 14334, 14639, 15065, 14809, 15169, 14595, 15308, 15176, 15901, 15200, 15609, 16579, 16507, 17290, 16957, 17471, 17280, 17692, 18136, 17665, 18054, 18047, 18147, 19233, 19442, 19870, 20060, 20255, 20550, 21756, 21403, 21423, 21689, 21872, 21689, 21763, 23003, 22545, 24440
14286, 14756, 14361, 15042, 15069, 14860, 15036, 14537, 15702, 15243, 15436, 16072, 16180, 16467, 17294, 16954, 17556, 17650, 17671, 17793, 17777, 17801, 17999, 18238, 17617, 19486, 19840, 20083, 20211, 20571, 22118, 21446, 21833, 22285, 21789, 21887, 21999, 22290, 22557, 24408
14268, 14418, 14589, 14794, 15161, 14761, 14710, 14647, 15103, 15351, 15902, 16073, 16186, 16455, 16888, 17344, 17541, 17669, 18068, 17736, 17705, 17629, 18012, 17905, 17310, 19518, 19816, 20055, 20292, 20505, 21251, 21349, 21690, 21793, 21814, 21761, 21998, 22275, 22448, 24428
14635, 14339, 14643, 14602, 15063, 14848, 14974, 14765, 15353, 15711, 14829, 15688, 16156, 16430, 16914, 17369, 17583, 17662, 17691, 18161, 17724, 18322, 18004, 18111, 18127, 19513, 19875, 20049, 20275, 20544, 21581, 21522, 21752, 22174, 21811, 21872, 22055, 21645, 22478, 24436
14224, 14720, 14711, 15064, 15022, 14842, 14625, 15110, 15547, 15813, 15357, 15682, 16634, 16492, 16929, 16936, 17565, 17647, 17710, 18148, 17779, 17883, 18033, 18065, 19535, 19508, 19818, 20064, 20352, 20499, 21579, 22189, 21730, 21328, 21752, 21648, 21828, 21811, 22496, 24424
14292, 14251, 14334, 15078, 15001, 15225, 15026, 15022, 15050, 16000, 15617, 15641, 16585, 16521, 16915, 17387, 17544, 17279, 17705, 17776, 18133, 18070, 18007, 17707, 19786, 19484, 19762, 20061, 20354, 20535, 21289, 21928, 21550, 21903, 21808, 21704, 21780, 22350, 22519, 24444
14643, 14579, 14258, 14642, 15159, 15284, 14732, 15087, 15046, 15301, 15671, 16305, 16200, 16458, 16901, 17327, 17488, 17252, 17727, 17748, 18193, 17628, 18038, 18183, 18142, 19583, 19798, 20054, 20282, 20472, 21192, 21609, 22037, 22265, 21862, 21831, 22016, 22369, 22503, 24416
14641, 14753, 14780, 14702, 15046, 15197, 14876, 14743, 15398, 15898, 15391, 16286, 16203, 16482, 17333, 17376, 17562, 17268, 17712, 17803, 18084, 17958, 18028, 17780, 18421, 19486, 19823, 20065, 20168, 20553, 21951, 21548, 21218, 21254, 21739, 21851, 22025, 22029, 22539, 24376
14192, 14383, 14268, 14978, 14757, 14830, 15161, 15156, 15305, 15366, 15201, 15586, 16184, 16420, 16886, 17352, 17311, 17652, 17654, 17742, 17709, 17987, 18020, 18117, 18927, 19600, 19818, 20080, 20243, 20508, 21758, 21643, 21096, 21552, 21796, 21671, 21816, 23303, 22554, 24340
14481, 14754, 14257, 15011, 14757, 15206, 15048, 14706, 15322, 15299, 15263, 15667, 16604, 16463, 16902, 16939, 17568, 17648, 17730, 17721, 18069, 17943, 18032, 17761, 18522, 19491, 19864, 20053, 20274, 20478, 21523, 21699, 21460, 21381, 21819, 21641, 21963, 21899, 22523, 24452
14292, 14592, 14182, 14747, 14648, 15172, 14666, 15023, 15633, 15350, 15741, 16393, 16593, 16463, 16899, 17359, 17331, 17247, 17705, 18140, 17671, 17915, 18012, 17962, 17719, 19470, 19810, 20100, 20266, 20565, 21747, 22101, 21913, 21839, 21812, 21854, 22016, 22709, 22570, 24452
